paper_id,claim_id,table_figure,claim,claim_type,mode,digits,value_script,value_paper,match,value_rewrite,match_rewrite,holds,defect_locus,notes
offer-westort_coppock_green_2021,sim_obs_per_period,text,Observations sampled per period in the illustrative simulations,definitional,,0,NA,100,NA,100,1,NA,NA,"The rewrite gives 100, which is the published value."
offer-westort_coppock_green_2021,sim_periods,text,Number of periods in the illustrative simulations,definitional,,0,NA,10,NA,10,1,NA,NA,"The rewrite gives 10, which is the published value."
offer-westort_coppock_green_2021,sim_arms,text,Number of arms in the illustrative simulations,definitional,,0,NA,9,NA,9,1,NA,NA,"The rewrite gives 9, which is the published value."
offer-westort_coppock_green_2021,sim_iterations,text,Simulated experiments behind Table 1,definitional,,0,NA,10000,NA,10000,1,NA,NA,"The rewrite gives 10000, which is the published value."
offer-westort_coppock_green_2021,ci_level,text,Confidence level used throughout,definitional,,2,NA,0.95,NA,0.9499999999999993,1,NA,NA,"The rewrite gives 0.95, which is the published value."
offer-westort_coppock_green_2021,case1_best_rate,text,Case 1 best arm success rate,definitional,,1,NA,0.2,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,case1_other_rate,text,Case 1 other arms' success rate,definitional,,1,NA,0.1,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,case2_best_rate,text,Case 2 best arm success rate,definitional,,2,NA,0.11,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,case3_best_rate,text,Case 3 best arm success rate,definitional,,1,NA,0.2,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,case3_second_rate,text,Case 3 second best arm success rate,definitional,,2,NA,0.18,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,control_prob_cap,text,Cap on the control arm's assignment probability,definitional,,2,NA,0.90,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,control_catchup_example,text,Worked example: share of the batch going to control,definitional,,2,NA,0.30,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,fig1_case1_ts_best,figure_1,"Case 1 posterior probability of the true best arm, Thompson sampling",pipeline,,2,NA,0.90,NA,0.8954,1,NA,NA,"The rewrite gives 0.90, which is the published value."
offer-westort_coppock_green_2021,fig1_case1_static_best,figure_1,"Case 1 posterior probability of the true best arm, static",pipeline,,2,NA,0.61,NA,0.607,1,NA,NA,"The rewrite gives 0.61, which is the published value."
offer-westort_coppock_green_2021,fig1_case2_ts_best,figure_1,"Case 2 posterior probability of the true best arm, Thompson sampling",pipeline,,2,NA,0.13,NA,0.132,1,NA,NA,"The rewrite gives 0.13, which is the published value."
offer-westort_coppock_green_2021,fig1_case2_ts_inferior,figure_1,"Case 2 highest posterior probability of an inferior arm, Thompson sampling",pipeline,,2,NA,0.24,NA,0.2424,1,NA,NA,"The rewrite gives 0.24, which is the published value."
offer-westort_coppock_green_2021,fig1_case2_static_best,figure_1,"Case 2 posterior probability of the true best arm, static",pipeline,,2,NA,0.06,NA,0.0582,1,NA,NA,"The rewrite gives 0.06, which is the published value."
