case,design,arm,batch,posterior_prob
Case 1: Clear winner,Thompson sampling,best,0,0.1111111111111111
Case 1: Clear winner,Thompson sampling,alt1,0,0.1111111111111111
Case 1: Clear winner,Thompson sampling,alt2,0,0.1111111111111111
Case 1: Clear winner,Thompson sampling,alt3,0,0.1111111111111111
Case 1: Clear winner,Thompson sampling,alt4,0,0.1111111111111111
Case 1: Clear winner,Thompson sampling,alt5,0,0.1111111111111111
Case 1: Clear winner,Thompson sampling,alt6,0,0.1111111111111111
Case 1: Clear winner,Thompson sampling,alt7,0,0.1111111111111111
Case 1: Clear winner,Thompson sampling,alt8,0,0.1111111111111111
Case 1: Clear winner,Thompson sampling,best,1,0.154
Case 1: Clear winner,Thompson sampling,alt1,1,0.536
Case 1: Clear winner,Thompson sampling,alt2,1,0.001
Case 1: Clear winner,Thompson sampling,alt3,1,0.0036
Case 1: Clear winner,Thompson sampling,alt4,1,0.0164
Case 1: Clear winner,Thompson sampling,alt5,1,0.0492
Case 1: Clear winner,Thompson sampling,alt6,1,0.225
Case 1: Clear winner,Thompson sampling,alt7,1,8e-4
Case 1: Clear winner,Thompson sampling,alt8,1,0.014
Case 1: Clear winner,Thompson sampling,best,2,0.2226
Case 1: Clear winner,Thompson sampling,alt1,2,0.004
Case 1: Clear winner,Thompson sampling,alt2,2,0.0094
Case 1: Clear winner,Thompson sampling,alt3,2,0.0422
Case 1: Clear winner,Thompson sampling,alt4,2,0.095
Case 1: Clear winner,Thompson sampling,alt5,2,0.2116
Case 1: Clear winner,Thompson sampling,alt6,2,0.3234
Case 1: Clear winner,Thompson sampling,alt7,2,0.0084
Case 1: Clear winner,Thompson sampling,alt8,2,0.0834
Case 1: Clear winner,Thompson sampling,best,3,0.3938
Case 1: Clear winner,Thompson sampling,alt1,3,0.011
Case 1: Clear winner,Thompson sampling,alt2,3,0.2704
Case 1: Clear winner,Thompson sampling,alt3,3,0.0816
Case 1: Clear winner,Thompson sampling,alt4,3,0.0138
Case 1: Clear winner,Thompson sampling,alt5,3,0.0132
Case 1: Clear winner,Thompson sampling,alt6,3,0.0784
Case 1: Clear winner,Thompson sampling,alt7,3,0.0198
Case 1: Clear winner,Thompson sampling,alt8,3,0.118
Case 1: Clear winner,Thompson sampling,best,4,0.3096
Case 1: Clear winner,Thompson sampling,alt1,4,0.0094
Case 1: Clear winner,Thompson sampling,alt2,4,0.0206
Case 1: Clear winner,Thompson sampling,alt3,4,0.195
Case 1: Clear winner,Thompson sampling,alt4,4,0.0118
Case 1: Clear winner,Thompson sampling,alt5,4,0.021
Case 1: Clear winner,Thompson sampling,alt6,4,0.1364
Case 1: Clear winner,Thompson sampling,alt7,4,0.0174
Case 1: Clear winner,Thompson sampling,alt8,4,0.2788
Case 1: Clear winner,Thompson sampling,best,5,0.5376
Case 1: Clear winner,Thompson sampling,alt1,5,0.0124
Case 1: Clear winner,Thompson sampling,alt2,5,0.0256
Case 1: Clear winner,Thompson sampling,alt3,5,0.1086
Case 1: Clear winner,Thompson sampling,alt4,5,0.0144
Case 1: Clear winner,Thompson sampling,alt5,5,0.015
Case 1: Clear winner,Thompson sampling,alt6,5,0.0626
Case 1: Clear winner,Thompson sampling,alt7,5,0.024
Case 1: Clear winner,Thompson sampling,alt8,5,0.1998
Case 1: Clear winner,Thompson sampling,best,6,0.6292
Case 1: Clear winner,Thompson sampling,alt1,6,0.011
Case 1: Clear winner,Thompson sampling,alt2,6,0.044
Case 1: Clear winner,Thompson sampling,alt3,6,0.0496
Case 1: Clear winner,Thompson sampling,alt4,6,0.0062
Case 1: Clear winner,Thompson sampling,alt5,6,0.0298
Case 1: Clear winner,Thompson sampling,alt6,6,0.0402
Case 1: Clear winner,Thompson sampling,alt7,6,0.0138
Case 1: Clear winner,Thompson sampling,alt8,6,0.1762
Case 1: Clear winner,Thompson sampling,best,7,0.8014
Case 1: Clear winner,Thompson sampling,alt1,7,0.0084
Case 1: Clear winner,Thompson sampling,alt2,7,0.0436
Case 1: Clear winner,Thompson sampling,alt3,7,0.034
Case 1: Clear winner,Thompson sampling,alt4,7,0.0042
Case 1: Clear winner,Thompson sampling,alt5,7,0.0184
Case 1: Clear winner,Thompson sampling,alt6,7,0.0298
Case 1: Clear winner,Thompson sampling,alt7,7,0.0146
Case 1: Clear winner,Thompson sampling,alt8,7,0.0456
Case 1: Clear winner,Thompson sampling,best,8,0.8276
Case 1: Clear winner,Thompson sampling,alt1,8,0.0116
Case 1: Clear winner,Thompson sampling,alt2,8,0.0172
Case 1: Clear winner,Thompson sampling,alt3,8,0.0444
Case 1: Clear winner,Thompson sampling,alt4,8,0.0064
Case 1: Clear winner,Thompson sampling,alt5,8,0.0156
Case 1: Clear winner,Thompson sampling,alt6,8,0.026
Case 1: Clear winner,Thompson sampling,alt7,8,0.0196
Case 1: Clear winner,Thompson sampling,alt8,8,0.0316
Case 1: Clear winner,Thompson sampling,best,9,0.8932
Case 1: Clear winner,Thompson sampling,alt1,9,0.0052
Case 1: Clear winner,Thompson sampling,alt2,9,0.0208
Case 1: Clear winner,Thompson sampling,alt3,9,0.0172
Case 1: Clear winner,Thompson sampling,alt4,9,0.0034
Case 1: Clear winner,Thompson sampling,alt5,9,0.0274
Case 1: Clear winner,Thompson sampling,alt6,9,0.0114
Case 1: Clear winner,Thompson sampling,alt7,9,0.0124
Case 1: Clear winner,Thompson sampling,alt8,9,0.009
Case 1: Clear winner,Thompson sampling,best,10,0.8954
Case 1: Clear winner,Thompson sampling,alt1,10,0.0082
Case 1: Clear winner,Thompson sampling,alt2,10,0.0168
Case 1: Clear winner,Thompson sampling,alt3,10,0.0168
Case 1: Clear winner,Thompson sampling,alt4,10,0.0048
Case 1: Clear winner,Thompson sampling,alt5,10,0.0198
Case 1: Clear winner,Thompson sampling,alt6,10,0.0152
Case 1: Clear winner,Thompson sampling,alt7,10,0.0156
Case 1: Clear winner,Thompson sampling,alt8,10,0.0074
Case 1: Clear winner,Static,best,0,0.1111111111111111
Case 1: Clear winner,Static,alt1,0,0.1111111111111111
Case 1: Clear winner,Static,alt2,0,0.1111111111111111
Case 1: Clear winner,Static,alt3,0,0.1111111111111111
Case 1: Clear winner,Static,alt4,0,0.1111111111111111
Case 1: Clear winner,Static,alt5,0,0.1111111111111111
Case 1: Clear winner,Static,alt6,0,0.1111111111111111
Case 1: Clear winner,Static,alt7,0,0.1111111111111111
Case 1: Clear winner,Static,alt8,0,0.1111111111111111
Case 1: Clear winner,Static,best,1,0.0636
Case 1: Clear winner,Static,alt1,1,0.0314
Case 1: Clear winner,Static,alt2,1,0.2792
Case 1: Clear winner,Static,alt3,1,0.0906
Case 1: Clear winner,Static,alt4,1,0.0062
Case 1: Clear winner,Static,alt5,1,0.0858
Case 1: Clear winner,Static,alt6,1,0.1352
Case 1: Clear winner,Static,alt7,1,0.295
Case 1: Clear winner,Static,alt8,1,0.013
Case 1: Clear winner,Static,best,2,0.2894
Case 1: Clear winner,Static,alt1,2,0.002
Case 1: Clear winner,Static,alt2,2,0.0482
Case 1: Clear winner,Static,alt3,2,0.0016
Case 1: Clear winner,Static,alt4,2,0.0112
Case 1: Clear winner,Static,alt5,2,0.0378
Case 1: Clear winner,Static,alt6,2,0.1036
Case 1: Clear winner,Static,alt7,2,0.5034
Case 1: Clear winner,Static,alt8,2,0.0028
Case 1: Clear winner,Static,best,3,0.1594
Case 1: Clear winner,Static,alt1,3,8e-4
Case 1: Clear winner,Static,alt2,3,0.1338
Case 1: Clear winner,Static,alt3,3,0.0022
Case 1: Clear winner,Static,alt4,3,0.0076
Case 1: Clear winner,Static,alt5,3,0.0436
Case 1: Clear winner,Static,alt6,3,0.2322
Case 1: Clear winner,Static,alt7,3,0.4172
Case 1: Clear winner,Static,alt8,3,0.0032
Case 1: Clear winner,Static,best,4,0.2038
Case 1: Clear winner,Static,alt1,4,0.0152
Case 1: Clear winner,Static,alt2,4,0.0396
Case 1: Clear winner,Static,alt3,4,6e-4
Case 1: Clear winner,Static,alt4,4,0.0092
Case 1: Clear winner,Static,alt5,4,0.0864
Case 1: Clear winner,Static,alt6,4,0.1164
Case 1: Clear winner,Static,alt7,4,0.5274
Case 1: Clear winner,Static,alt8,4,0.0014
Case 1: Clear winner,Static,best,5,0.3196
Case 1: Clear winner,Static,alt1,5,0.0276
Case 1: Clear winner,Static,alt2,5,0.0886
Case 1: Clear winner,Static,alt3,5,6e-4
Case 1: Clear winner,Static,alt4,5,0.007
Case 1: Clear winner,Static,alt5,5,0.0636
Case 1: Clear winner,Static,alt6,5,0.0422
Case 1: Clear winner,Static,alt7,5,0.4496
Case 1: Clear winner,Static,alt8,5,0.0012
Case 1: Clear winner,Static,best,6,0.3092
Case 1: Clear winner,Static,alt1,6,0.0132
Case 1: Clear winner,Static,alt2,6,0.1362
Case 1: Clear winner,Static,alt3,6,2e-4
Case 1: Clear winner,Static,alt4,6,0.0336
Case 1: Clear winner,Static,alt5,6,0.0326
Case 1: Clear winner,Static,alt6,6,0.1108
Case 1: Clear winner,Static,alt7,6,0.3562
Case 1: Clear winner,Static,alt8,6,0.008
Case 1: Clear winner,Static,best,7,0.3226
