topic,arm,batch,posterior_prob,successes,trials,cumulative_successes,cumulative_trials
Minimum wage,Proposal 1 (N),0,0.1,NA,NA,NA,NA
Minimum wage,Proposal 1 (N),1,0.014033849682392144,7,9,7,9
Minimum wage,Proposal 1 (N),2,0.029028842479432132,0,0,7,9
Minimum wage,Proposal 1 (N),3,0.037159980405021616,4,5,11,14
Minimum wage,Proposal 1 (N),4,0.1359304384125643,7,7,18,21
Minimum wage,Proposal 1 (N),5,0.04388235630859124,12,16,30,37
Minimum wage,Proposal 1 (N),6,8.328307786112505e-4,1,6,31,43
Minimum wage,Proposal 1 (N),7,7.891800732620996e-4,0,0,31,43
Minimum wage,Proposal 1 (N),8,0.0016861039963961273,1,1,32,44
Minimum wage,Proposal 1 (N),9,9.880650886560985e-4,1,2,33,46
Minimum wage,Proposal 1 (N),10,0.001476019860946605,0,0,33,46
Minimum wage,Proposal 1 (Y),0,0.1,NA,NA,NA,NA
Minimum wage,Proposal 1 (Y),1,0.028409586300067322,10,12,10,12
Minimum wage,Proposal 1 (Y),2,0.09720878211230159,3,3,13,15
Minimum wage,Proposal 1 (Y),3,0.10608114557183351,4,5,17,20
Minimum wage,Proposal 1 (Y),4,0.08992951280914298,11,13,28,33
Minimum wage,Proposal 1 (Y),5,0.07250129138354715,12,15,40,48
Minimum wage,Proposal 1 (Y),6,0.11785564776963389,12,13,52,61
Minimum wage,Proposal 1 (Y),7,0.05273081609179789,9,12,61,73
Minimum wage,Proposal 1 (Y),8,0.035215078653530546,2,4,63,77
Minimum wage,Proposal 1 (Y),9,0.034168738206743675,4,5,67,82
Minimum wage,Proposal 1 (Y),10,0.06769266862097603,4,4,71,86
Minimum wage,Proposal 2 (N),0,0.1,NA,NA,NA,NA
Minimum wage,Proposal 2 (N),1,0.092481456600403,9,10,9,10
Minimum wage,Proposal 2 (N),2,0.1453402003008675,7,8,16,18
Minimum wage,Proposal 2 (N),3,0.003932722866707337,8,14,24,32
Minimum wage,Proposal 2 (N),4,0.003722697967194344,0,0,24,32
Minimum wage,Proposal 2 (N),5,0.005442241034258456,3,4,27,36
Minimum wage,Proposal 2 (N),6,0.0020964352898179073,0,1,27,37
Minimum wage,Proposal 2 (N),7,0.002039222544230663,0,0,27,37
Minimum wage,Proposal 2 (N),8,0.003342734212795655,0,0,27,37
Minimum wage,Proposal 2 (N),9,0.0045902633524648115,1,1,28,38
Minimum wage,Proposal 2 (N),10,0.004175535686843665,2,3,30,41
Minimum wage,Proposal 2 (Y),0,0.1,NA,NA,NA,NA
Minimum wage,Proposal 2 (Y),1,0.00764664872394566,10,13,10,13
Minimum wage,Proposal 2 (Y),2,0.03211486019035689,3,3,13,16
Minimum wage,Proposal 2 (Y),3,0.029232476892611683,2,3,15,19
Minimum wage,Proposal 2 (Y),4,0.10922475949959312,8,8,23,27
Minimum wage,Proposal 2 (Y),5,0.06397031022319867,10,13,33,40
Minimum wage,Proposal 2 (Y),6,0.05029867518573848,4,5,37,45
Minimum wage,Proposal 2 (Y),7,0.037102233587417995,3,4,40,49
Minimum wage,Proposal 2 (Y),8,0.04222304255290878,3,4,43,53
Minimum wage,Proposal 2 (Y),9,0.04453686327212272,5,6,48,59
Minimum wage,Proposal 2 (Y),10,0.08847096928148324,4,4,52,63
Minimum wage,Proposal 3 (N),0,0.1,NA,NA,NA,NA
Minimum wage,Proposal 3 (N),1,0.06441239951972284,7,8,7,8
Minimum wage,Proposal 3 (N),2,0.11484539693937643,15,17,22,25
Minimum wage,Proposal 3 (N),3,0.1609759210635865,13,15,35,40
