topic,arm,estimate,std.error,conf.low,conf.high,p.value,df
Minimum wage,Proposal 1 (Y),0.8358513796351076,0.041553102721142085,0.7543091041418359,0.9173936551283792,1.0112348300155019e-75,990
Minimum wage,Proposal 1 (N),0.7026921192491541,0.101999823430983,0.5025314294857285,0.9028528090125797,9.969022152330916e-12,990
Minimum wage,Proposal 2 (Y),0.860856779160744,0.04412830826381028,0.7742610153342122,0.9474525429872758,5.69425879507819e-72,990
Minimum wage,Proposal 2 (N),0.7053980464224772,0.1169297906446127,0.4759393399066254,0.9348567529383289,2.2757096397100226e-9,990
Minimum wage,Proposal 3 (Y),0.8951311890026931,0.03252252553708016,0.83131018495208,0.9589521930533061,2.6491208413027928e-124,990
Minimum wage,Proposal 3 (N),0.8648207817917613,0.028636156618873265,0.808626244701356,0.9210153188821665,1.5371838204260357e-142,990
Minimum wage,Proposal 4 (Y),0.8661283533986844,0.039090961575732795,0.7894176928375063,0.9428390139598626,1.1721886481126721e-88,990
Minimum wage,Proposal 4 (N),0.8613434340534889,0.06819892775553792,0.7275123747290468,0.995174493377931,5.189648407477089e-34,990
Minimum wage,Proposal 5 (Y),0.8720030091008991,0.02435332751856122,0.8242129378029017,0.9197930803988965,8.639312898876615e-181,990
Minimum wage,Proposal 5 (N),0.8696094269329334,0.030270412505575058,0.8102078863936104,0.9290109674722564,1.716434736966439e-132,990
Right-to-work,Proposal 1 (CA),0.6850362027872461,0.10619156128090305,0.47665031559727833,0.8934220899772138,1.734425136529528e-10,992
Right-to-work,Proposal 1 (BM),0.7134392618256282,0.0944727636646431,0.5280498539096041,0.8988286697416523,9.720343711288367e-14,992
Right-to-work,Proposal 2 (CA),0.6176864960415838,0.14490051800255918,0.3333397679774269,0.9020332241057406,2.211093056943307e-5,992
Right-to-work,Proposal 2 (BM),0.8743348536520124,0.0465478524136674,0.7829912910844457,0.9656784162195791,1.395962155273476e-67,992
Right-to-work,Proposal 3 (CA),0.6238419964187133,0.13358720410857078,0.36169604329769056,0.885987949539736,3.4273804343672607e-6,992
Right-to-work,Proposal 3 (BM),0.564367638025557,0.15407221111567085,0.26202276224273013,0.8667125138083839,2.624526800878003e-4,992
Right-to-work,Proposal 4 (CA),0.9336187787912605,0.025244628551340645,0.8840797734880363,0.9831577840944847,7.10455431204167e-189,992
Right-to-work,Proposal 4 (BM),0.925850942358672,0.009733011171261127,0.9067512875133311,0.944950597204013,0,992
