Scenario,Algorithm,batches,statistic,value
1: Clear winner,Thompson Sampling,10,Best arm selection,0.9681000000000002
1: Clear winner,Thompson Sampling,10,Coverage of best arm,0.9583
1: Clear winner,Thompson Sampling,10,Coverage of ATE,0.7951000000000001
1: Clear winner,Thompson Sampling,100,Best arm selection,0.9687
1: Clear winner,Thompson Sampling,100,Coverage of best arm,0.9614
1: Clear winner,Thompson Sampling,100,Coverage of ATE,0.8068000000000004
1: Clear winner,Thompson Sampling,2,Best arm selection,0.945
1: Clear winner,Thompson Sampling,2,Coverage of best arm,0.9515
1: Clear winner,Thompson Sampling,2,Coverage of ATE,0.8459999999999999
1: Clear winner,Thompson Sampling,20,Best arm selection,0.9673000000000002
1: Clear winner,Thompson Sampling,20,Coverage of best arm,0.9560000000000004
1: Clear winner,Thompson Sampling,20,Coverage of ATE,0.7993000000000001
1: Clear winner,Thompson Sampling,4,Best arm selection,0.9616999999999996
1: Clear winner,Thompson Sampling,4,Coverage of best arm,0.9553999999999996
1: Clear winner,Thompson Sampling,4,Coverage of ATE,0.7689
1: Clear winner,Thompson Sampling,5,Best arm selection,0.9629
1: Clear winner,Thompson Sampling,5,Coverage of best arm,0.9561000000000004
1: Clear winner,Thompson Sampling,5,Coverage of ATE,0.7744999999999994
1: Clear winner,Thompson Sampling,50,Best arm selection,0.9700999999999996
1: Clear winner,Thompson Sampling,50,Coverage of best arm,0.9595999999999996
1: Clear winner,Thompson Sampling,50,Coverage of ATE,0.8049
1: Clear winner,Thompson Sampling,8,Best arm selection,0.9653000000000002
1: Clear winner,Thompson Sampling,8,Coverage of best arm,0.9546000000000004
1: Clear winner,Thompson Sampling,8,Coverage of ATE,0.7851000000000001
1: Clear winner,Thompson Sampling,1,Best arm selection,0.9086
1: Clear winner,Thompson Sampling,1,Coverage of best arm,0.9407
1: Clear winner,Thompson Sampling,1,Coverage of ATE,0.9485000000000005
1: Clear winner,Control-Augmented,10,Best arm selection,0.9560000000000004
1: Clear winner,Control-Augmented,10,Coverage of best arm,0.9566
1: Clear winner,Control-Augmented,10,Coverage of ATE,0.9516000000000004
1: Clear winner,Control-Augmented,100,Best arm selection,0.9573
1: Clear winner,Control-Augmented,100,Coverage of best arm,0.9568
1: Clear winner,Control-Augmented,100,Coverage of ATE,0.9526
1: Clear winner,Control-Augmented,2,Best arm selection,0.9388999999999998
1: Clear winner,Control-Augmented,2,Coverage of best arm,0.9479
1: Clear winner,Control-Augmented,2,Coverage of ATE,0.9447
1: Clear winner,Control-Augmented,20,Best arm selection,0.9601999999999998
1: Clear winner,Control-Augmented,20,Coverage of best arm,0.9616
1: Clear winner,Control-Augmented,20,Coverage of ATE,0.9543
1: Clear winner,Control-Augmented,4,Best arm selection,0.9489
1: Clear winner,Control-Augmented,4,Coverage of best arm,0.9538
1: Clear winner,Control-Augmented,4,Coverage of ATE,0.9519
1: Clear winner,Control-Augmented,5,Best arm selection,0.9545
1: Clear winner,Control-Augmented,5,Coverage of best arm,0.9549999999999998
1: Clear winner,Control-Augmented,5,Coverage of ATE,0.9492
1: Clear winner,Control-Augmented,50,Best arm selection,0.9577
1: Clear winner,Control-Augmented,50,Coverage of best arm,0.9624
1: Clear winner,Control-Augmented,50,Coverage of ATE,0.9564
1: Clear winner,Control-Augmented,8,Best arm selection,0.9548
1: Clear winner,Control-Augmented,8,Coverage of best arm,0.9560000000000004
1: Clear winner,Control-Augmented,8,Coverage of ATE,0.952
2: No clear winner,Thompson Sampling,10,Best arm selection,0.19329999999999972
2: No clear winner,Thompson Sampling,10,Coverage of best arm,0.88
2: No clear winner,Thompson Sampling,10,Coverage of ATE,0.8509000000000004
2: No clear winner,Thompson Sampling,100,Best arm selection,0.1902999999999996
2: No clear winner,Thompson Sampling,100,Coverage of best arm,0.8945999999999998
2: No clear winner,Thompson Sampling,100,Coverage of ATE,0.8656999999999998
2: No clear winner,Thompson Sampling,2,Best arm selection,0.17700000000000035
2: No clear winner,Thompson Sampling,2,Coverage of best arm,0.8193000000000003
2: No clear winner,Thompson Sampling,2,Coverage of ATE,0.8016999999999999
2: No clear winner,Thompson Sampling,20,Best arm selection,0.18589999999999984
2: No clear winner,Thompson Sampling,20,Coverage of best arm,0.8896000000000001
2: No clear winner,Thompson Sampling,20,Coverage of ATE,0.8604999999999998
2: No clear winner,Thompson Sampling,4,Best arm selection,0.18259999999999943
2: No clear winner,Thompson Sampling,4,Coverage of best arm,0.8621999999999994
2: No clear winner,Thompson Sampling,4,Coverage of ATE,0.8287999999999995
