Scenario,Algorithm,first_batch,statistic,value
1: Clear winner,Thompson Sampling,100,Success rate of best arm,0.02135995777642827
1: Clear winner,Thompson Sampling,100,ATE of best arm,0.05738448863580026
1: Clear winner,Thompson Sampling,190,Success rate of best arm,0.02117674566868638
1: Clear winner,Thompson Sampling,190,ATE of best arm,0.0582005827248554
1: Clear winner,Thompson Sampling,280,Success rate of best arm,0.02085773385945895
1: Clear winner,Thompson Sampling,280,ATE of best arm,0.05915309439848503
1: Clear winner,Thompson Sampling,370,Success rate of best arm,0.02233474964680466
1: Clear winner,Thompson Sampling,370,ATE of best arm,0.0590747073674704
1: Clear winner,Thompson Sampling,460,Success rate of best arm,0.02298936239932198
1: Clear winner,Thompson Sampling,460,ATE of best arm,0.05837408920090575
1: Clear winner,Thompson Sampling,550,Success rate of best arm,0.02405106426609024
1: Clear winner,Thompson Sampling,550,ATE of best arm,0.05477301860496111
1: Clear winner,Thompson Sampling,640,Success rate of best arm,0.02517687702305987
1: Clear winner,Thompson Sampling,640,ATE of best arm,0.05188590759456175
1: Clear winner,Thompson Sampling,730,Success rate of best arm,0.02682994383732945
1: Clear winner,Thompson Sampling,730,ATE of best arm,0.0482395297352204
1: Clear winner,Thompson Sampling,820,Success rate of best arm,0.02806774096625427
1: Clear winner,Thompson Sampling,820,ATE of best arm,0.04458243980385626
1: Clear winner,Thompson Sampling,910,Success rate of best arm,0.02903398563425092
1: Clear winner,Thompson Sampling,910,ATE of best arm,0.04178327840042907
1: Clear winner,Control-Augmented,100,Success rate of best arm,0.02338363176240237
1: Clear winner,Control-Augmented,100,ATE of best arm,0.02932266358822316
1: Clear winner,Control-Augmented,190,Success rate of best arm,0.02323851153326175
1: Clear winner,Control-Augmented,190,ATE of best arm,0.029137421133587
1: Clear winner,Control-Augmented,280,Success rate of best arm,0.02310986631103107
1: Clear winner,Control-Augmented,280,ATE of best arm,0.02925571616465418
1: Clear winner,Control-Augmented,370,Success rate of best arm,0.02353383327848394
1: Clear winner,Control-Augmented,370,ATE of best arm,0.02978637568017359
1: Clear winner,Control-Augmented,460,Success rate of best arm,0.02412842814961311
1: Clear winner,Control-Augmented,460,ATE of best arm,0.03047482144160972
1: Clear winner,Control-Augmented,550,Success rate of best arm,0.02507786673217335
1: Clear winner,Control-Augmented,550,ATE of best arm,0.03190875409226669
1: Clear winner,Control-Augmented,640,Success rate of best arm,0.02652587807255245
1: Clear winner,Control-Augmented,640,ATE of best arm,0.03295464258908947
1: Clear winner,Control-Augmented,730,Success rate of best arm,0.02723592797560605
1: Clear winner,Control-Augmented,730,ATE of best arm,0.03445321923174877
1: Clear winner,Control-Augmented,820,Success rate of best arm,0.02862783523312862
1: Clear winner,Control-Augmented,820,ATE of best arm,0.03575018125435614
1: Clear winner,Control-Augmented,910,Success rate of best arm,0.02967243695423199
1: Clear winner,Control-Augmented,910,ATE of best arm,0.03682010001782305
2: No clear winner,Thompson Sampling,100,Success rate of best arm,0.03349211329438671
2: No clear winner,Thompson Sampling,100,ATE of best arm,0.04950631904668689
2: No clear winner,Thompson Sampling,190,Success rate of best arm,0.03315214300596828
2: No clear winner,Thompson Sampling,190,ATE of best arm,0.0502174025987795
2: No clear winner,Thompson Sampling,280,Success rate of best arm,0.03269288184043358
2: No clear winner,Thompson Sampling,280,ATE of best arm,0.04904923040460103
2: No clear winner,Thompson Sampling,370,Success rate of best arm,0.03249260514524101
2: No clear winner,Thompson Sampling,370,ATE of best arm,0.04903689527623595
2: No clear winner,Thompson Sampling,460,Success rate of best arm,0.03187647138506073
2: No clear winner,Thompson Sampling,460,ATE of best arm,0.04757644711124904
2: No clear winner,Thompson Sampling,550,Success rate of best arm,0.03106226198938815
2: No clear winner,Thompson Sampling,550,ATE of best arm,0.04649765525715332
2: No clear winner,Thompson Sampling,640,Success rate of best arm,0.03044058717867485
2: No clear winner,Thompson Sampling,640,ATE of best arm,0.04460815081533215
2: No clear winner,Thompson Sampling,730,Success rate of best arm,0.02854112811786012
2: No clear winner,Thompson Sampling,730,ATE of best arm,0.04278597138006496
2: No clear winner,Thompson Sampling,820,Success rate of best arm,0.02764236873964991
2: No clear winner,Thompson Sampling,820,ATE of best arm,0.03998028255393086
2: No clear winner,Thompson Sampling,910,Success rate of best arm,0.02602034638052476
2: No clear winner,Thompson Sampling,910,ATE of best arm,0.03696152587188314
2: No clear winner,Control-Augmented,100,Success rate of best arm,0.034299514826319
