Estimates,term,estimate,std.error,conf.low,conf.high,p.value
IPW-Adjusted,Lottery,-0.0033655460288280897,0.04003591815321436,-0.08263868964867221,0.07590759759101603,0.9331471219043304
IPW-Adjusted,Accuracy,0.03576126630173419,0.031455152433692506,-0.026629697877545773,0.09815223048101415,0.25824457022964825
IPW-Adjusted,Google,-0.0038614197162200256,0.07596574794100362,-0.19132775644721708,0.18360491701477702,0.9611659806733274
IPW-Adjusted,Direction,-0.16843454297481708,0.11640809736711276,-0.49322385585473943,0.15635476990510527,0.2223141700811513
IPW-Adjusted,Extra Time,-0.1315063695384863,0.1411525020711092,-0.6240263926883729,0.36101365361140036,0.4300051725242398
IPW,Lottery,-0.006063191939469388,0.03798627711208407,-0.08119812645965681,0.06907174258071803,0.8734260947961345
IPW,Accuracy,0.039848434082709445,0.032683445739287706,-0.02463260494537218,0.10432947311079108,0.2243146171059465
IPW,Google,-0.05368797348247401,0.08306829988583855,-0.25747482884925454,0.15009888188430653,0.5422396106803287
IPW,Direction,-0.2110805628471521,0.12155891832144987,-0.6628298031146653,0.24066867742036113,0.20454813168500915
IPW,Extra Time,-0.06455369908938138,0.1611889731411004,-0.7411427409207553,0.6120353427419926,0.7266394241690175
