case,design,arm,batch,quantity,value
Case 1: Clear winner,Thompson sampling,best,0,posterior_prob,0.1111111111111111
Case 1: Clear winner,Thompson sampling,alt1,0,posterior_prob,0.1111111111111111
Case 1: Clear winner,Thompson sampling,alt2,0,posterior_prob,0.1111111111111111
Case 1: Clear winner,Thompson sampling,alt3,0,posterior_prob,0.1111111111111111
Case 1: Clear winner,Thompson sampling,alt4,0,posterior_prob,0.1111111111111111
Case 1: Clear winner,Thompson sampling,alt5,0,posterior_prob,0.1111111111111111
Case 1: Clear winner,Thompson sampling,alt6,0,posterior_prob,0.1111111111111111
Case 1: Clear winner,Thompson sampling,alt7,0,posterior_prob,0.1111111111111111
Case 1: Clear winner,Thompson sampling,alt8,0,posterior_prob,0.1111111111111111
Case 1: Clear winner,Thompson sampling,best,1,posterior_prob,0.154
Case 1: Clear winner,Thompson sampling,alt1,1,posterior_prob,0.536
Case 1: Clear winner,Thompson sampling,alt2,1,posterior_prob,0.001
Case 1: Clear winner,Thompson sampling,alt3,1,posterior_prob,0.0036
Case 1: Clear winner,Thompson sampling,alt4,1,posterior_prob,0.0164
Case 1: Clear winner,Thompson sampling,alt5,1,posterior_prob,0.0492
Case 1: Clear winner,Thompson sampling,alt6,1,posterior_prob,0.225
Case 1: Clear winner,Thompson sampling,alt7,1,posterior_prob,8e-4
Case 1: Clear winner,Thompson sampling,alt8,1,posterior_prob,0.014
Case 1: Clear winner,Thompson sampling,best,2,posterior_prob,0.2226
Case 1: Clear winner,Thompson sampling,alt1,2,posterior_prob,0.004
Case 1: Clear winner,Thompson sampling,alt2,2,posterior_prob,0.0094
Case 1: Clear winner,Thompson sampling,alt3,2,posterior_prob,0.0422
Case 1: Clear winner,Thompson sampling,alt4,2,posterior_prob,0.095
Case 1: Clear winner,Thompson sampling,alt5,2,posterior_prob,0.2116
Case 1: Clear winner,Thompson sampling,alt6,2,posterior_prob,0.3234
Case 1: Clear winner,Thompson sampling,alt7,2,posterior_prob,0.0084
Case 1: Clear winner,Thompson sampling,alt8,2,posterior_prob,0.0834
Case 1: Clear winner,Thompson sampling,best,3,posterior_prob,0.3938
Case 1: Clear winner,Thompson sampling,alt1,3,posterior_prob,0.011
Case 1: Clear winner,Thompson sampling,alt2,3,posterior_prob,0.2704
Case 1: Clear winner,Thompson sampling,alt3,3,posterior_prob,0.0816
Case 1: Clear winner,Thompson sampling,alt4,3,posterior_prob,0.0138
Case 1: Clear winner,Thompson sampling,alt5,3,posterior_prob,0.0132
Case 1: Clear winner,Thompson sampling,alt6,3,posterior_prob,0.0784
Case 1: Clear winner,Thompson sampling,alt7,3,posterior_prob,0.0198
Case 1: Clear winner,Thompson sampling,alt8,3,posterior_prob,0.118
Case 1: Clear winner,Thompson sampling,best,4,posterior_prob,0.3096
