batch,pid,arm,posterior_prob,posterior_mean
0,democrat,accuracy,0.16666666666666666,NA
1,democrat,accuracy,0.1446,0.5406126932872517
2,democrat,accuracy,0.2144,0.5330827458129525
3,democrat,accuracy,0.475,0.5533866520094639
4,democrat,accuracy,0.1569,0.5320425082792896
5,democrat,accuracy,0.4028,0.5400625059792761
6,democrat,accuracy,0.4711,0.5429222157088931
7,democrat,accuracy,0.3095,0.5411385489087994
8,democrat,accuracy,0.2278,0.5310305512608208
9,democrat,accuracy,0.3102,0.5468398501735137
10,democrat,accuracy,0.2885,0.5441158759202639
0,democrat,control,0.16666666666666666,NA
1,democrat,control,0.0227,0.48508088036820207
2,democrat,control,0.0135,0.4755787943123025
3,democrat,control,0.001,0.45754211931826866
4,democrat,control,1e-4,0.4473707889800638
5,democrat,control,2e-4,0.4578332606347144
6,democrat,control,0.0025,0.47919010386074407
7,democrat,control,3e-4,0.47426117205558094
8,democrat,control,4e-4,0.47423777022766345
9,democrat,control,2e-4,0.4846026453204173
10,democrat,control,0.0035,0.5029237707317213
0,democrat,direction,0.16666666666666666,NA
1,democrat,direction,0.1738,0.5312023745739325
2,democrat,direction,0.1019,0.5044143942035526
3,democrat,direction,0.3168,0.538430577809267
4,democrat,direction,0.71,0.563130752385825
5,democrat,direction,0.3297,0.5362943371938119
6,democrat,direction,0.2528,0.5323899068820849
7,democrat,direction,0.2527,0.5372649104289591
8,democrat,direction,0.1475,0.5249452578408573
9,democrat,direction,0.078,0.5295615094447814
10,democrat,direction,0.0536,0.5242580037754287
0,democrat,extratime,0.16666666666666666,NA
1,democrat,extratime,0.0305,0.4677103915405606
2,democrat,extratime,0.0166,0.4254051717491448
3,democrat,extratime,0.007,0.4121544063070263
4,democrat,extratime,0.0041,0.39982049372387685
5,democrat,extratime,0.0068,0.39937932586337516
6,democrat,extratime,0.0168,0.41939219391416555
7,democrat,extratime,0.0313,0.4424938003734552
8,democrat,extratime,0.0147,0.42725083167880396
9,democrat,extratime,0.0064,0.4270868225460992
10,democrat,extratime,0.0077,0.42635254334074535
0,democrat,google,0.16666666666666666,NA
1,democrat,google,0.4106,0.5851238894012767
2,democrat,google,0.0622,0.5149122294079866
3,democrat,google,0.0996,0.5183045620282565
4,democrat,google,0.0631,0.5125943165178823
5,democrat,google,0.1127,0.5149616961630916
6,democrat,google,0.0535,0.5044108549213226
7,democrat,google,0.0475,0.5079941419102892
8,democrat,google,0.0895,0.5116887428827387
9,democrat,google,0.0999,0.5257553349062046
10,democrat,google,0.0934,0.5248641492645039
0,democrat,lottery,0.16666666666666666,NA
1,democrat,lottery,0.2178,0.5548991155587344
2,democrat,lottery,0.5914,0.5680727199549357
3,democrat,lottery,0.1006,0.5210101389394024
4,democrat,lottery,0.0658,0.5160120475284282
5,democrat,lottery,0.1478,0.5213445290624202
6,democrat,lottery,0.2033,0.5268434426138993
7,democrat,lottery,0.3587,0.5417095665379008
8,democrat,lottery,0.5201,0.5424554574166653
9,democrat,lottery,0.5053,0.553345166825643
10,democrat,lottery,0.5533,0.5524912351613424
0,independent,accuracy,0.16666666666666666,NA
1,independent,accuracy,0.1595,0.44877419836007576
2,independent,accuracy,0.7217,0.5600047385054687
3,independent,accuracy,0.4574,0.47221389517608614
4,independent,accuracy,0.5175,0.4644501980377266
5,independent,accuracy,0.6393,0.4472524722536746
6,independent,accuracy,0.6809,0.4407857806432184
7,independent,accuracy,0.6455,0.4316101420174784
8,independent,accuracy,0.4463,0.4128213170272563
9,independent,accuracy,0.4632,0.4163020373237994
10,independent,accuracy,0.6204,0.4146591561851801
0,independent,control,0.16666666666666666,NA
1,independent,control,0.0874,0.4391515034248786
2,independent,control,0.0129,0.4063111001157538
3,independent,control,0.0631,0.4096698437310488
4,independent,control,0.0091,0.38216771965274604
5,independent,control,0.0301,0.38303233805523434
6,independent,control,0.0601,0.3916615535293714
7,independent,control,0.0813,0.3910687526604999
8,independent,control,0.1588,0.3941493306946803
9,independent,control,0.1572,0.3971810274047682
10,independent,control,0.1209,0.3886870798494578
0,independent,direction,0.16666666666666666,NA
1,independent,direction,0.1459,0.4489208184615576
2,independent,direction,0.0104,0.3693391289749178
3,independent,direction,0.047,0.36274305887252756
4,independent,direction,0.0662,0.3650122972594702
5,independent,direction,0.0344,0.3201329617433712
6,independent,direction,0.0417,0.3209304291452941
7,independent,direction,0.059,0.32088194846095963
8,independent,direction,0.0097,0.27684572842419897
9,independent,direction,0.0035,0.2647156920227432
10,independent,direction,0.0056,0.2656209231574595
0,independent,extratime,0.16666666666666666,NA
1,independent,extratime,0.3182,0.47671918963108245
2,independent,extratime,0.0012,0.31258284530067376
3,independent,extratime,0.004,0.3109236302133357
4,independent,extratime,0.005,0.31205984809911086
5,independent,extratime,0.0135,0.31185837630838825
6,independent,extratime,0.0208,0.3126707765458246
7,independent,extratime,0.0144,0.30058695489126996
8,independent,extratime,0.0196,0.29910656256650003
9,independent,extratime,0.0278,0.31301451376241873
10,independent,extratime,0.0324,0.3146583864068872
0,independent,google,0.16666666666666666,NA
1,independent,google,0.0932,0.43630750585675643
2,independent,google,0.0067,0.3760340967051599
3,independent,google,0.0483,0.3754075177922326
4,independent,google,0.0689,0.37466804305782647
5,independent,google,0.016,0.3191395294456254
6,independent,google,0.0208,0.31991305701208866
7,independent,google,0.0266,0.3187001094858534
8,independent,google,0.0836,0.3414077008711228
9,independent,google,0.1251,0.35774610312205224
10,independent,google,0.0332,0.3129715074888717
0,independent,lottery,0.16666666666666666,NA
1,independent,lottery,0.1958,0.46105941190930116
2,independent,lottery,0.2471,0.49990368905398774
3,independent,lottery,0.3802,0.46208277449786467
4,independent,lottery,0.3333,0.44597795131984286
5,independent,lottery,0.2667,0.4195018536946368
6,independent,lottery,0.1757,0.40578476497407856
7,independent,lottery,0.1732,0.39721824863283317
8,independent,lottery,0.282,0.3995326031319917
9,independent,lottery,0.2232,0.39654991784810106
10,independent,lottery,0.1875,0.3889603221579487
0,republican,accuracy,0.16666666666666666,NA
1,republican,accuracy,0.1518,0.4088633481204013
2,republican,accuracy,0.0404,0.4060295131612649
3,republican,accuracy,0.0684,0.4055034968377125
4,republican,accuracy,0.0433,0.39053250478945056
5,republican,accuracy,0.0181,0.3634073928429455
6,republican,accuracy,0.0154,0.36326944136620287
7,republican,accuracy,0.0173,0.3629943458999425
8,republican,accuracy,0.0127,0.3631452496339406
9,republican,accuracy,0.0184,0.3682622332940378
10,republican,accuracy,0.0249,0.3675967144553412
0,republican,control,0.16666666666666666,NA
1,republican,control,0.0488,0.3966988234823134
2,republican,control,0.0092,0.4026259870447991
3,republican,control,0.0065,0.3946846603935073
4,republican,control,0.0835,0.4193527583934298
5,republican,control,0.183,0.41704524047546654
6,republican,control,0.0605,0.40767187492009305
7,republican,control,0.045,0.40543798145476323
8,republican,control,0.0114,0.4024839312201185
9,republican,control,0.0024,0.39497548504202623
10,republican,control,0.0048,0.3949995037354771
0,republican,direction,0.16666666666666666,NA
1,republican,direction,0.1136,0.4115923543367689
2,republican,direction,0.1838,0.4419616363334825
3,republican,direction,0.0778,0.40476561256789256
4,republican,direction,0.2416,0.42092883796793923
5,republican,direction,0.1118,0.3924271972877797
6,republican,direction,0.0253,0.3741574831547124
7,republican,direction,0.0282,0.3733392703374881
8,republican,direction,0.0151,0.3714669807052298
9,republican,direction,0.0109,0.36756488465763903
10,republican,direction,0.017,0.36743614250523315
0,republican,extratime,0.16666666666666666,NA
1,republican,extratime,0.0788,0.3701725881464618
2,republican,extratime,0.008,0.3367741408293486
3,republican,extratime,0.0152,0.3371163169229859
4,republican,extratime,0.0203,0.3369187085366358
5,republican,extratime,0.0324,0.33694124229496425
6,republican,extratime,0.026,0.3371849185681765
7,republican,extratime,0.0281,0.33682283733102647
8,republican,extratime,0.0292,0.34517234133356256
9,republican,extratime,0.0199,0.3360830093175029
10,republican,extratime,0.0305,0.33664522364869254
0,republican,google,0.16666666666666666,NA
1,republican,google,0.0082,0.3097813949149167
2,republican,google,0.0054,0.3237583006970044
3,republican,google,0.0099,0.32404180093462237
4,republican,google,0.0193,0.3249783002536895
5,republican,google,0.0186,0.32634003172721016
6,republican,google,0.0143,0.32632410531063644
7,republican,google,0.0144,0.3256355957263889
8,republican,google,0.0107,0.3261528328565989
9,republican,google,0.0088,0.32652680313054494
10,republican,google,0.0155,0.3275504877257419
0,republican,lottery,0.16666666666666666,NA
1,republican,lottery,0.5988,0.4679949787679553
2,republican,lottery,0.7532,0.487292677658804
3,republican,lottery,0.8222,0.4670486511444401
4,republican,lottery,0.592,0.4461670603344938
5,republican,lottery,0.6361,0.43447768200101866
6,republican,lottery,0.8585,0.44074880239011566
7,republican,lottery,0.867,0.4383783387300161
8,republican,lottery,0.9209,0.442399282562144
9,republican,lottery,0.9396,0.44315363460061963
10,republican,lottery,0.9073,0.4348482961872485
