design,batch,profile,posterior_prob,Z_1,Z_2,Z_3,Z_4
Adaptive,0,1,0.005208333333333333,No limits,Prohibit all,Prohibit all,Disclose > $200
Adaptive,1,1,5.7e-4,No limits,Prohibit all,Prohibit all,Disclose > $200
Adaptive,2,1,9e-5,No limits,Prohibit all,Prohibit all,Disclose > $200
Adaptive,3,1,0.00114,No limits,Prohibit all,Prohibit all,Disclose > $200
Adaptive,4,1,0.00877,No limits,Prohibit all,Prohibit all,Disclose > $200
Adaptive,5,1,0.00473,No limits,Prohibit all,Prohibit all,Disclose > $200
Adaptive,6,1,3.4e-4,No limits,Prohibit all,Prohibit all,Disclose > $200
Adaptive,7,1,8e-5,No limits,Prohibit all,Prohibit all,Disclose > $200
Adaptive,8,1,2e-5,No limits,Prohibit all,Prohibit all,Disclose > $200
Adaptive,9,1,2e-5,No limits,Prohibit all,Prohibit all,Disclose > $200
Adaptive,10,1,2e-5,No limits,Prohibit all,Prohibit all,Disclose > $200
Adaptive,0,2,0.005208333333333333,"100,000",Prohibit all,Prohibit all,Disclose > $200
Adaptive,1,2,0.00112,"100,000",Prohibit all,Prohibit all,Disclose > $200
Adaptive,2,2,2.3e-4,"100,000",Prohibit all,Prohibit all,Disclose > $200
Adaptive,3,2,0.00322,"100,000",Prohibit all,Prohibit all,Disclose > $200
Adaptive,4,2,0.01089,"100,000",Prohibit all,Prohibit all,Disclose > $200
Adaptive,5,2,0.00446,"100,000",Prohibit all,Prohibit all,Disclose > $200
Adaptive,6,2,0.00414,"100,000",Prohibit all,Prohibit all,Disclose > $200
Adaptive,7,2,0.00154,"100,000",Prohibit all,Prohibit all,Disclose > $200
Adaptive,8,2,7.5e-4,"100,000",Prohibit all,Prohibit all,Disclose > $200
Adaptive,9,2,0.00174,"100,000",Prohibit all,Prohibit all,Disclose > $200
Adaptive,10,2,0.00578,"100,000",Prohibit all,Prohibit all,Disclose > $200
Adaptive,0,3,0.005208333333333333,"$1,000,000",Prohibit all,Prohibit all,Disclose > $200
