outcome,party,adjusted,term,estimate,std.error,p.value,conf.low,conf.high,nobs,r_squared
econ1,democrat,FALSE,Lottery,-0.005046320902306935,0.04394605962626444,0.9086002012001517,-0.0912706401069337,0.08117799830231984,1143,7.73559951001257e-4
econ1,democrat,FALSE,Accuracy,-0.007592326982194446,0.041564394858000266,0.8550940129307638,-0.08914370338003333,0.07395904941564443,1143,7.73559951001257e-4
econ1,democrat,FALSE,Direction,-0.03417117714573641,0.04736895588426968,0.47082172195464067,-0.12711138628599183,0.058769031994519015,1143,7.73559951001257e-4
econ1,democrat,TRUE,Lottery,-0.0015494733006519072,0.042870474265193526,0.9711746578006331,-0.08566479711780572,0.08256585051650192,1143,0.07233994525605214
econ1,democrat,TRUE,Accuracy,-0.013444360731925783,0.040871736335050625,0.7422622083684265,-0.09363799972750304,0.06674927826365147,1143,0.07233994525605214
econ1,democrat,TRUE,Direction,-0.04438837680185772,0.046090242900021,0.335717223380782,-0.13482114603982687,0.04604439243611142,1143,0.07233994525605214
econ1,republican,FALSE,Lottery,-0.005163713258322265,0.029849372585983816,0.8626886938577155,-0.06373069964129582,0.05340327312465129,1124,0.009115825435234481
econ1,republican,FALSE,Accuracy,-0.06700516552726624,0.09302882408868587,0.4715137278534208,-0.24953556404507254,0.11552523299054007,1124,0.009115825435234481
econ1,republican,FALSE,Direction,0.057670820035673594,0.058700434832743925,0.32608553321153566,-0.05750438365146377,0.17284602372281097,1124,0.009115825435234481
econ1,republican,TRUE,Lottery,0.0032118388175927247,0.029362825827768925,0.9129174022516577,-0.054401462403441785,0.06082514003862723,1124,0.1739566606965517
econ1,republican,TRUE,Accuracy,-0.06625579204639476,0.07853904937160794,0.39907409562652074,-0.2203585999846171,0.08784701589182758,1124,0.1739566606965517
econ1,republican,TRUE,Direction,0.055274685047052345,0.06397204067617229,0.38775134216550255,-0.07024594674837292,0.18079531684247763,1124,0.1739566606965517
econ2,democrat,FALSE,Lottery,0.01878370951269393,0.03154939078481216,0.5517112952174762,-0.04311773887371265,0.08068515789910051,1143,5.806001504838898e-4
econ2,democrat,FALSE,Accuracy,0.02056495099656546,0.031987796139209775,0.5204184491614543,-0.042196670145716715,0.08332657213884764,1143,5.806001504838898e-4
econ2,democrat,FALSE,Direction,0.022435986922426703,0.0378203746396087,0.553148441437687,-0.05176943861736908,0.09664141246222249,1143,5.806001504838898e-4
econ2,democrat,TRUE,Lottery,0.046849532581699806,0.030783785014063255,0.12831842631371745,-0.013550733315939166,0.10724979847933877,1143,0.10014020735355345
econ2,democrat,TRUE,Accuracy,0.04349089304380242,0.03173862046043205,0.170872669089661,-0.01878283691365957,0.10576462300126441,1143,0.10014020735355345
econ2,democrat,TRUE,Direction,0.04926507671380769,0.03664774057012563,0.17912736343604682,-0.022640742339049176,0.12117089576666457,1143,0.10014020735355345
econ2,republican,FALSE,Lottery,0.017815908721516522,0.03417062957000971,0.6022049993391063,-0.049230008268396366,0.0848618257114294,1120,0.025228366339615005
econ2,republican,FALSE,Accuracy,-0.18092129666637968,0.10126909654161342,0.0742832370042093,-0.37962057513479686,0.017777981802037462,1120,0.025228366339615005
econ2,republican,FALSE,Direction,-0.11226156095507375,0.10608435099646157,0.29017994463481683,-0.32040881139613503,0.09588568948598752,1120,0.025228366339615005
econ2,republican,TRUE,Lottery,0.015073749724044067,0.033560172818718925,0.6534077529273392,-0.050775500874442804,0.08092300032253094,1120,0.1715494645306581
econ2,republican,TRUE,Accuracy,-0.17357021823776114,0.09401359673393468,0.06512835930058097,-0.35803663694299914,0.01089620046747683,1120,0.1715494645306581
econ2,republican,TRUE,Direction,-0.12316510324536281,0.09043534675920652,0.1735043315671258,-0.3006105485914148,0.05428034210068913,1120,0.1715494645306581
