pid,Z,n,n_total
democrat,control,293,1399
democrat,lottery,339,1399
democrat,accuracy,319,1399
democrat,google,148,1399
democrat,direction,260,1399
democrat,extratime,40,1399
independent,control,200,568
independent,lottery,86,568
independent,accuracy,206,568
independent,google,26,568
independent,direction,22,568
independent,extratime,28,568
republican,control,493,1258
republican,lottery,552,1258
republican,accuracy,60,1258
republican,google,35,1258
republican,direction,81,1258
republican,extratime,37,1258
