file,dataverse_file_id,file_persistent_id,bytes,md5_served,md5_published,unf
README.txt,4206451,,6484,b8f288e7df3a866f6e9b890a9f6e768e,b8f288e7df3a866f6e9b890a9f6e768e,
codebook_study_1_clean.pdf,4183450,,166938,9b1327ba54393c1da891589adbee3fcb,9b1327ba54393c1da891589adbee3fcb,
codebook_study_2_clean.pdf,4183457,,227773,97c750ab42a60c969e947d8aeb2f4765,97c750ab42a60c969e947d8aeb2f4765,
codebook_study_3_clean.pdf,4183446,,153863,f19d55c93f6e5b0c5af7a2e60dbb28f5,f19d55c93f6e5b0c5af7a2e60dbb28f5,
codebook_study_3_stat_clean.pdf,4183449,,154066,f8cb47dede198d2ea6d9520c57e7db0a,f8cb47dede198d2ea6d9520c57e7db0a,
simulations.R,4183452,,12366,16d36b335c6eb0b718eb17ef8de1c063,16d36b335c6eb0b718eb17ef8de1c063,
simulations_iterated.R,4183448,,59090,f9896dec97ce922d21987e95e25123b7,f9896dec97ce922d21987e95e25123b7,
simulations_supplement1.rds,4026733,,102600398,3b7e721828ed5a2107b690e0dbd86c47,3b7e721828ed5a2107b690e0dbd86c47,
simulations_supplement2.rds,4026725,,26100398,300345f64b721d0f7d4fa3f0bb41afdf,300345f64b721d0f7d4fa3f0bb41afdf,
study_1_clean.rds,4055904,,65158,4c0c4ee0543e154e6055a3fe5def4b76,4c0c4ee0543e154e6055a3fe5def4b76,
study_1_rtw-mw_F.R,4026727,,1348,9965aa321efff419a26c62dee55b0151,9965aa321efff419a26c62dee55b0151,
study_1_rtw-mw_analysis.R,4183456,,4747,10627c0a0af89c58ac1d581c67fdcb60,10627c0a0af89c58ac1d581c67fdcb60,
study_1_rtw-mw_simulations.R,4026711,,2230,d9f0aa7d83b0da575317635edc486e4c,d9f0aa7d83b0da575317635edc486e4c,
study_1_sims.rds,4055920,,6401518,89ec3b229b671cc0d7d3555ea3773204,89ec3b229b671cc0d7d3555ea3773204,
study_2_clean.rds,4055906,,2335631,5c375c38b6deca961e049a728f566e3a,5c375c38b6deca961e049a728f566e3a,
study_2_misperceptions_F.R,4026722,,8786,e360c70112e070c09c22a8eeb5dcd1e2,e360c70112e070c09c22a8eeb5dcd1e2,
study_2_misperceptions_additional_analysis.R,4183454,,6586,96ca70313a5e21bf37bd3c9249ee70ce,96ca70313a5e21bf37bd3c9249ee70ce,
study_2_misperceptions_analysis.R,4183453,,12950,fc88b3464bc159046ccb092bd7008f6a,fc88b3464bc159046ccb092bd7008f6a,
study_2_misperceptions_bols.R,4026734,,2218,60eb4833a3e359a5f1eb2f2760177b1e,60eb4833a3e359a5f1eb2f2760177b1e,
study_2_misperceptions_probabilities.R,4026731,,3215,960a752444684b13281d84dbb4d9385b,960a752444684b13281d84dbb4d9385b,
study_3_clean.rds,4026726,,71611,686e38f6f049526aa5284f4ab2aeed03,686e38f6f049526aa5284f4ab2aeed03,
study_3_conjoint_analysis.R,4183447,,8828,fe83709cab66af604f9961089ea0b011,fe83709cab66af604f9961089ea0b011,
study_3_stat_clean.rds,4026728,,79443,7a7fd7f380ae73a69ba5a6eba86b944e,7a7fd7f380ae73a69ba5a6eba86b944e,
utils.R,4183455,,13190,1218f17deba91872458f4767a6586874,1218f17deba91872458f4767a6586874,
